Index;ID;Lat;Lon;Elv;Yr1;YrEnd;Yrs;Name;Prov;Fit
1;1012055;48.82;-124.05;171;1983;2002;14;LAKE COWICHAN;BC;Lin
2;1012710;48.43;-123.43;3;2014;2024;10;ESQUIMALT HARBOUR;BC;Lin
3;1013754;48.5;-124;393;1964;2003;37;JORDAN RIVER DIVERSION;BC;Lin
4;1013755;48.41;-124.05;4;1973;2002;29;JORDAN RIVER GENERATING;BC;Lin
5;1014820;48.57;-123.52;365;2013;2024;12;MALAHAT;BC;Lin
6;1015628;48.82;-123.71;45;1982;2017;30;NORTH COWICHAN;BC;Lin
7;1016335;48.59;-124.32;10;1973;1982;10;PORT RENFREW;BC;Lin
8;1016941;48.5;-123.41;38;1964;1975;10;SAANICH CAMOSUN COLLEGE;BC;Lin
9;1017099;48.77;-123.12;178;1989;2024;33;SATURNA CAPMON CS;BC;Lin
10;1017101;48.78;-123.04;24;2009;2024;15;SATURNA ISLAND CS;BC;Lin
11;1017254;48.37;-123.92;6;2010;2024;14;SHERINGHAM POINT;BC;Lin
12;1018598;48.45;-123.3;60;1965;2024;31;VICTORIA UNIVERSITY CS;BC;Lin
13;1018611;48.41;-123.32;61;1925;2024;72;VICTORIA GONZALES CS;BC;Lin
14;1018621;48.64;-123.42;19;1965;2017;50;VICTORIA INTL A;BC;Lin
15;1018642;48.36;-123.75;31;1967;1991;25;VICTORIA MARINE;BC;Lin
16;1020590;49.35;-124.16;14;2010;2024;12;BALLENAS ISLAND;BC;Lin
17;1021261;49.95;-125.27;108;1970;2002;21;CAMPBELL RIVER A;BC;Lin
18;1021265;50.01;-125.23;3;1973;1995;14;CAMPBELL RIVER STP;BC;Lin
19;1021830;49.71;-124.9;25;1963;2006;40;COMOX A;BC;Lin
20;1021990;49.68;-125.03;24;1964;1995;32;COURTENAY PUNTLEDGE BCHP;BC;Lin
21;1022689;49.2;-123.81;7;2011;2024;14;ENTRANCE ISLAND;BC;Lin
